entity,cutoff_year,cutoff_value,regime,n_holdout,tfp_mae,tfp_preds,tfp_wis,tfp_coverage,theta_mae,theta_wis,theta_coverage,naive_mae,naive_wis,naive_coverage,bass_mae,gompertz_mae,logistic_mae,actual
Automatic transmission,1959,81.0,Mature,4,2.75,"[81.0, 81.0, 81.0, 81.0]",76.7215,100.0,20.719065372373805,120.3067355445556,100.0,2.75,76.7215,100.0,2.684331100229702,6.095423745469795,10.834917731469993,"[78.0, 77.0, 78.0, 80.0]"
Automatic transmission,1960,78.0,Growth,4,1.75,"[78.0, 78.0, 78.0, 78.0]",78.68673125000001,100.0,19.281036363264676,111.02251372626361,100.0,1.75,78.68673125000001,100.0,3.418078216748409,7.430746921268739,5.682248643639735,"[77.0, 78.0, 80.0, 82.0]"
Automatic transmission,1961,77.0,Growth,4,4.0,"[77.0, 77.0, 77.0, 77.0]",81.02749999999999,100.0,17.189938855635795,99.83338314765716,100.0,4.0,81.02749999999999,100.0,3.717014482413937,7.667240866445098,2.109638598001446,"[78.0, 80.0, 82.0, 84.0]"
Automatic transmission,1962,78.0,Growth,4,5.125,"[78.0, 78.0, 78.0, 78.0]",80.55792499999998,100.0,14.903349026998242,88.38951125499662,100.0,5.125,80.55792499999998,100.0,3.4567794399549463,7.346198354844667,2.2409891053222957,"[80.0, 82.0, 84.0, 86.5]"
Automatic transmission,1963,80.0,Mature,4,5.5,"[80.0, 80.0, 80.0, 80.0]",78.13160083333332,100.0,12.781818629002501,77.49822766668365,100.0,5.5,78.13160083333332,100.0,2.851511404710653,6.0997928484198845,4.166742996711129,"[82.0, 84.0, 86.5, 89.5]"
Automatic transmission,1964,82.0,Mature,4,6.25,"[82.0, 82.0, 82.0, 82.0]",73.26282499999999,100.0,10.411896397417852,67.07414654185469,100.0,6.25,73.26282499999999,100.0,1.949037752448323,3.14284875374576,6.681248001648584,"[84.0, 86.5, 89.5, 93.0]"
Automatic transmission,1965,84.0,Mature,4,7.0,"[84.0, 84.0, 84.0, 84.0]",66.94553235294117,100.0,7.987424788712218,57.52881412326946,100.0,7.0,66.94553235294117,100.0,1.3210402845910032,1.702547206068143,8.9236026331245,"[86.5, 89.5, 93.0, 95.0]"
Automatic transmission,1966,86.5,Mature,4,7.125,"[86.5, 86.5, 86.5, 86.5]",58.592275,100.0,5.753711324532787,48.455857315027686,100.0,7.125,58.592275,100.0,1.1035061293252149,1.9430726298414989,10.763254428533596,"[89.5, 93.0, 95.0, 97.0]"
Automatic transmission,1967,89.5,Mature,4,6.125,"[89.5, 89.5, 89.5, 89.5]",50.37207105263158,100.0,4.257489029162723,40.798409485152746,100.0,6.125,50.37207105263158,100.0,1.0229927589238095,2.6187373329914863,11.672349274685942,"[93.0, 95.0, 97.0, 97.5]"
Automatic transmission,1968,93.0,Mature,4,1.0367781220979637,"[np.float64(94.86795363417302), np.float64(95.53784452558328), np.float64(96.94708935185184), np.float64(100.0)]",39.11387146343668,100.0,3.125,35.895031249999995,100.0,3.875,41.86909374999999,100.0,,,,"[95.0, 97.0, 97.5, 98.0]"
