entity,n_windows,tfp_mae,theta_mae,naive_mae,bass_mae,tfp_vs_bass,winner
Vacuum,45,1.7832760714831117,4.2344063471661215,3.1007407407407412,8.703643958684115,79.51115555796791,TFP
Household refrigerator,72,1.6399237090152607,1.433980194073038,1.7576388888888888,7.047899349171835,76.73173767431908,TFP
Stove,97,1.6825563709551121,2.8141766672110333,2.137542955326461,6.6459643419529755,74.68303643560209,TFP
Automobile,80,2.4405019504706607,5.404962357343476,2.35,8.277844435620807,70.51766351190638,TFP
Electric power,87,1.851603942780056,2.641210267532451,2.0229885057471266,5.715144698602702,67.60180117167016,TFP
Washing machine,68,2.2982271419040408,5.787156736875012,2.9301470588235294,5.704527451160293,59.712225743841685,TFP
Refrigerator,42,3.4605195765636374,3.667670503963018,3.8464285714285724,7.542444665350681,54.11939059412718,TFP
Power steering,23,6.464686925073459,3.511995210601266,6.75,12.019496150202885,46.21499234005464,TFP
Dishwasher,29,3.7462276974573196,6.923147791723237,5.61867816091954,6.0738946810709615,38.32247850572251,TFP
Home air conditioning,44,3.6547317810347963,5.4609266739562745,3.7808712121212125,5.6369299206549845,35.1644985394792,TFP
Radio,70,1.2259122108178888,3.817702928919279,1.1071428571428572,1.8084863295982163,32.2133548507251,TFP
RTGS adoption,25,3.650481089467188,6.9179107831969056,5.015499999999999,5.179680975089191,29.523051573570534,TFP
Automatic transmission,25,2.2271885831120826,5.116429191484024,2.37,2.391587952149555,6.874067453371752,TFP
Social media usage,4,6.229166666666666,9.306980453749546,6.229166666666666,6.2874501797582845,0.9269817084078915,TFP
Microcomputer,22,5.758870154187101,5.506550100194388,5.958333333333332,5.79044012766003,0.5452085295230714,TFP
Cable TV,19,4.814427743618782,5.565940707879571,4.879912280701753,4.838325261535917,0.49392127699882193,TFP
Nox pollution controls (boilers),5,10.166666666666668,0.8469837250356143,10.166666666666668,9.426197791152006,-7.855435371934483,Bass
Shipping container port infrastructure,12,11.079180966034244,8.528607217843465,11.118055555555555,10.240851895810723,-8.18612629840356,Bass
Cellular phone,15,4.698681984542247,6.703474012337642,4.968333333333334,3.4621232664500083,-35.71677328982516,Bass
Internet,13,5.824487874732077,6.379132345163469,5.833333333333333,3.952005427348865,-47.38056366079778,Bass
Colour TV,29,3.0318201323219927,6.300541673298249,2.5316091954022992,1.6728397613767443,-81.23792860033467,Bass
Disk brakes,8,2.057291666666667,0.7864583333333334,2.057291666666667,,,N/A
Microwave,6,1.6000000000000003,6.800000000000001,1.6000000000000003,,,N/A
