method,domain,nominal,observed,n
empirical,flu,0.01,0.0,1590
empirical,flu,0.025,0.0,1590
empirical,flu,0.05,0.0,1590
empirical,flu,0.1,0.0,1590
empirical,flu,0.15,0.0,1590
empirical,flu,0.2,0.0,1590
empirical,flu,0.25,0.0012578616352201257,1590
empirical,flu,0.3,0.0018867924528301887,1590
empirical,flu,0.35,0.0018867924528301887,1590
empirical,flu,0.4,0.0018867924528301887,1590
empirical,flu,0.45,0.0018867924528301887,1590
empirical,flu,0.5,0.0018867924528301887,1590
empirical,flu,0.55,0.00440251572327044,1590
empirical,flu,0.6,0.005031446540880503,1590
empirical,flu,0.65,0.012578616352201259,1590
empirical,flu,0.7,0.12955974842767295,1590
empirical,flu,0.75,0.7911949685534592,1590
empirical,flu,0.8,0.9786163522012579,1590
empirical,flu,0.85,0.9993710691823899,1590
empirical,flu,0.9,1.0,1590
empirical,flu,0.95,1.0,1590
empirical,flu,0.975,1.0,1590
empirical,flu,0.99,1.0,1590
empirical,covid,0.01,0.0,1500
empirical,covid,0.025,0.0,1500
empirical,covid,0.05,0.0,1500
empirical,covid,0.1,0.0,1500
empirical,covid,0.15,0.0,1500
empirical,covid,0.2,0.0,1500
empirical,covid,0.25,0.0013333333333333333,1500
empirical,covid,0.3,0.002,1500
empirical,covid,0.35,0.002,1500
empirical,covid,0.4,0.002,1500
empirical,covid,0.45,0.002,1500
empirical,covid,0.5,0.002,1500
empirical,covid,0.55,0.004666666666666667,1500
empirical,covid,0.6,0.005333333333333333,1500
empirical,covid,0.65,0.013333333333333334,1500
empirical,covid,0.7,0.13666666666666666,1500
empirical,covid,0.75,0.7786666666666666,1500
empirical,covid,0.8,0.9773333333333334,1500
empirical,covid,0.85,0.9993333333333333,1500
empirical,covid,0.9,1.0,1500
empirical,covid,0.95,1.0,1500
empirical,covid,0.975,1.0,1500
empirical,covid,0.99,1.0,1500
empirical,bass,0.01,0.0,123
empirical,bass,0.025,0.0,123
empirical,bass,0.05,0.0,123
empirical,bass,0.1,0.0,123
empirical,bass,0.15,0.0,123
empirical,bass,0.2,0.0,123
empirical,bass,0.25,0.0,123
empirical,bass,0.3,0.24390243902439024,123
empirical,bass,0.35,0.2682926829268293,123
empirical,bass,0.4,0.5528455284552846,123
empirical,bass,0.45,0.6991869918699187,123
empirical,bass,0.5,0.975609756097561,123
empirical,bass,0.55,1.0,123
empirical,bass,0.6,1.0,123
empirical,bass,0.65,1.0,123
empirical,bass,0.7,1.0,123
empirical,bass,0.75,1.0,123
empirical,bass,0.8,1.0,123
empirical,bass,0.85,1.0,123
empirical,bass,0.9,1.0,123
empirical,bass,0.95,1.0,123
empirical,bass,0.975,1.0,123
empirical,bass,0.99,1.0,123
empirical,nyiso,0.01,0.0,330
empirical,nyiso,0.025,0.0,330
empirical,nyiso,0.05,0.0,330
empirical,nyiso,0.1,0.0,330
empirical,nyiso,0.15,0.0,330
empirical,nyiso,0.2,0.0,330
empirical,nyiso,0.25,0.0,330
empirical,nyiso,0.3,0.012121212121212121,330
empirical,nyiso,0.35,0.0696969696969697,330
empirical,nyiso,0.4,0.18484848484848485,330
empirical,nyiso,0.45,0.4212121212121212,330
empirical,nyiso,0.5,0.6424242424242425,330
