method,origin,horizon,actual,point,q0_01,q0_025,q0_05,q0_10,q0_15,q0_20,q0_25,q0_30,q0_35,q0_40,q0_45,q0_50,q0_55,q0_60,q0_65,q0_70,q0_75,q0_80,q0_85,q0_90,q0_95,q0_975,q0_99,cov_50,cov_80,cov_90,cov_95,wis,domain,series
empirical,190,1,2.0,1.0,-12.26346153846154,-12.26346153846154,-11.16346153846154,-11.16346153846154,-10.06346153846154,-10.06346153846154,-8.96346153846154,-8.96346153846154,-7.863461538461539,-6.76346153846154,-5.66346153846154,-5.113461538461539,-3.46346153846154,-2.3634615384615394,-1.2634615384615393,-0.053461538461545555,3.411538461538461,6.876538461538468,16.941538461538457,22.606538461538467,36.24653846153843,47.90653846153845,55.77153846153846,1,1,1,,44.89817692307693,flu,flu_02
conformal,190,1,2.0,1.0,-12.26346153846154,-12.26346153846154,-12.033413461538464,-11.16346153846154,-10.06346153846154,-10.06346153846154,-8.96346153846154,-8.96346153846154,-7.863461538461539,-6.76346153846154,-5.877644230769234,-5.658173076923077,-3.46346153846154,-2.3634615384615394,-1.2634615384615393,0.7091346153846254,4.228605769230759,8.17115384615385,18.298557692307686,23.587019230769226,43.326201923076944,52.58497596153847,57.90993846153848,1,1,1,,46.03371416826923,flu,flu_02
empirical,190,2,0.0,1.0,-13.46923076923077,-13.46923076923077,-12.26923076923077,-12.26923076923077,-11.069230769230769,-11.069230769230769,-9.86923076923077,-9.86923076923077,-8.66923076923077,-7.469230769230769,-6.26923076923077,-5.6692307692307695,-3.8692307692307697,-2.66923076923077,-1.4692307692307698,-0.14923076923077683,3.63076923076923,7.410769230769237,18.390769230769227,24.570769230769233,39.45076923076919,52.17076923076922,60.75076923076922,1,1,1,,39.57073846153846,flu,flu_02
conformal,190,2,0.0,1.0,-13.46923076923077,-13.46923076923077,-13.218269230769232,-12.26923076923077,-11.069230769230769,-11.069230769230769,-9.86923076923077,-9.86923076923077,-8.66923076923077,-7.469230769230769,-6.502884615384618,-6.263461538461538,-3.8692307692307697,-2.66923076923077,-1.4692307692307698,0.6826923076923187,4.522115384615374,8.823076923076925,19.871153846153838,25.64038461538461,47.17403846153848,57.27451923076923,63.08356923076924,1,1,1,,41.49219867307693,flu,flu_02
empirical,190,4,1.0,1.0,-15.880769230769232,-15.880769230769232,-14.48076923076923,-14.48076923076923,-13.080769230769231,-13.080769230769231,-11.680769230769231,-11.680769230769231,-10.28076923076923,-8.88076923076923,-7.480769230769232,-6.7807692307692315,-4.680769230769231,-3.2807692307692315,-1.8807692307692316,-0.3407692307692396,4.069230769230768,8.479230769230774,21.289230769230763,28.499230769230774,45.85923076923072,60.69923076923075,70.70923076923076,1,1,1,,51.415861538461556,flu,flu_02
conformal,190,4,1.0,1.0,-15.880769230769232,-15.880769230769232,-15.587980769230771,-14.48076923076923,-13.080769230769231,-13.080769230769231,-11.680769230769231,-11.680769230769231,-10.28076923076923,-8.88076923076923,-7.753365384615387,-7.474038461538461,-4.680769230769231,-3.2807692307692315,-1.8807692307692316,0.6298076923077052,5.109134615384602,10.12692307692308,23.016346153846143,29.747115384615373,54.86971153846156,66.65360576923077,73.43083076923078,1,1,1,,52.86109075961537,flu,flu_02
empirical,191,1,0.0,1.0,-12.200000000000001,-12.200000000000001,-11.100000000000001,-11.100000000000001,-10.0,-10.0,-8.9,-8.9,-7.800000000000001,-6.700000000000001,-6.314999999999999,-5.6000000000000005,-3.4000000000000004,-2.3000000000000003,-1.2000000000000002,0.00999999999999368,3.475,6.940000000000007,17.005,22.670000000000005,36.30999999999997,47.96999999999999,55.835,1,1,1,,36.21935,flu,flu_02
conformal,191,1,0.0,1.0,-12.200000000000001,-12.200000000000001,-11.969951923076923,-11.100000000000001,-10.431009615384617,-10.0,-8.9,-8.9,-7.800000000000001,-7.133653846153852,-6.700000000000001,-5.6000000000000005,-3.4000000000000004,-2.3000000000000003,-1.2000000000000002,0.7725961538461646,4.292067307692298,8.234615384615388,18.362019230769224,23.650480769230764,43.38966346153848,52.64843750000001,57.97340000000002,1,1,1,,38.160108399038464,flu,flu_02
empirical,191,2,0.0,1.0,-13.399999999999999,-13.399999999999999,-12.2,-12.2,-11.0,-11.0,-9.799999999999999,-9.799999999999999,-8.6,-7.4,-6.979999999999998,-6.199999999999999,-3.8,-2.5999999999999996,-1.4,-0.08000000000000673,3.6999999999999997,7.480000000000007,18.459999999999997,24.640000000000004,39.51999999999996,52.23999999999999,60.81999999999999,1,1,1,,39.9102,flu,flu_02
conformal,191,2,0.0,1.0,-13.399999999999999,-13.399999999999999,-13.14903846153846,-12.2,-11.470192307692308,-11.0,-9.799999999999999,-9.799999999999999,-8.6,-7.873076923076928,-7.4,-6.199999999999999,-3.8,-2.5999999999999996,-1.4,0.7519230769230887,4.591346153846143,8.892307692307696,19.940384615384605,25.709615384615375,47.24326923076925,57.34375,63.15280000000001,1,1,1,,41.947390980769235,flu,flu_02
empirical,191,4,0.0,1.0,-15.799999999999997,-15.799999999999997,-14.399999999999999,-14.399999999999999,-13.0,-13.0,-11.6,-11.6,-10.2,-8.799999999999999,-8.309999999999997,-7.399999999999999,-4.6,-3.1999999999999993,-1.7999999999999998,-0.2600000000000078,4.15,8.560000000000008,21.369999999999994,28.580000000000002,45.93999999999995,60.77999999999998,70.78999999999999,1,1,1,,47.31190000000001,flu,flu_02
conformal,191,4,0.0,1.0,-15.799999999999997,-15.799999999999997,-15.507211538461537,-14.399999999999999,-13.548557692307691,-13.0,-11.6,-11.6,-10.2,-9.351923076923082,-8.799999999999999,-7.399999999999999,-4.6,-3.1999999999999993,-1.7999999999999998,0.7105769230769369,5.189903846153833,10.207692307692312,23.097115384615375,29.8278846153846,54.950480769230786,66.734375,73.51160000000002,1,1,1,,49.52195614423077,flu,flu_02
empirical,192,1,0.0,2.0,-11.115384615384617,-11.115384615384617,-10.015384615384617,-10.015384615384617,-8.915384615384616,-8.915384615384616,-7.815384615384616,-7.815384615384616,-6.715384615384616,-6.495384615384614,-5.615384615384616,-4.515384615384616,-2.7003846153846096,-1.215384615384616,-0.11538461538461586,1.0946153846153779,4.559615384615384,8.024615384615391,18.08961538461538,23.754615384615388,37.394615384615356,49.05461538461538,56.91961538461538,1,1,1,,33.16019615384615,flu,flu_02
conformal,192,1,0.0,2.0,-11.115384615384617,-11.115384615384617,-10.885336538461539,-10.015384615384617,-9.346394230769233,-8.915384615384616,-7.815384615384616,-7.815384615384616,-6.715384615384616,-6.715384615384616,-5.615384615384616,-4.515384615384616,-2.315384615384616,-1.215384615384616,-0.11538461538461586,1.857211538461549,5.376682692307682,9.319230769230774,19.44663461538461,24.735096153846147,44.47427884615387,53.73305288461539,59.0580153846154,1,1,1,,34.63049301442308,flu,flu_02
empirical,192,2,1.0,2.0,-12.307692307692308,-12.307692307692308,-11.107692307692307,-11.107692307692307,-9.907692307692308,-9.907692307692308,-8.707692307692307,-8.707692307692307,-7.507692307692308,-7.267692307692304,-6.307692307692308,-5.107692307692308,-3.1276923076923007,-1.507692307692308,-0.30769230769230793,1.0123076923076852,4.792307692307691,8.5723076923077,19.55230769230769,25.732307692307696,40.61230769230765,53.33230769230768,61.912307692307685,1,1,1,,40.31112307692307,flu,flu_02
conformal,192,2,1.0,2.0,-12.307692307692308,-12.307692307692308,-12.056730769230768,-11.107692307692307,-10.377884615384616,-9.907692307692308,-8.707692307692307,-8.707692307692307,-7.507692307692308,-7.507692307692308,-6.307692307692308,-5.107692307692308,-2.707692307692308,-1.507692307692308,-0.30769230769230793,1.8442307692307807,5.683653846153835,9.984615384615388,21.032692307692297,26.801923076923067,48.33557692307694,58.43605769230769,64.2451076923077,1,1,1,,41.91508328846154,flu,flu_02
empirical,192,4,2.0,2.0,-14.692307692307693,-14.692307692307693,-13.292307692307691,-13.292307692307691,-11.892307692307693,-11.892307692307693,-10.492307692307692,-10.492307692307692,-9.092307692307692,-8.812307692307687,-7.692307692307692,-6.292307692307693,-3.9823076923076846,-2.092307692307693,-0.6923076923076925,0.8476923076922995,5.257692307692308,9.667692307692315,22.4776923076923,29.68769230769231,47.04769230769226,61.88769230769229,71.8976923076923,1,1,1,,52.26528461538461,flu,flu_02
conformal,192,4,2.0,2.0,-14.692307692307693,-14.692307692307693,-14.39951923076923,-13.292307692307691,-12.440865384615384,-11.892307692307693,-10.492307692307692,-10.492307692307692,-9.092307692307692,-9.092307692307692,-7.692307692307692,-6.292307692307693,-3.4923076923076923,-2.092307692307693,-0.6923076923076925,1.818269230769244,6.297596153846141,11.31538461538462,24.204807692307682,30.93557692307691,56.0581730769231,67.8420673076923,74.61929230769232,1,1,1,,53.16599460576922,flu,flu_02
empirical,193,1,1.0,0.0,-12.967307692307694,-12.967307692307694,-12.802307692307693,-11.867307692307692,-11.372307692307693,-10.767307692307693,-9.942307692307693,-9.667307692307693,-8.567307692307693,-8.567307692307693,-7.467307692307693,-6.367307692307692,-5.267307692307693,-3.2873076923076954,-2.022307692307689,-0.8673076923076922,2.707692307692308,6.172692307692315,16.237692307692306,21.90269230769231,35.54269230769227,47.202692307692296,55.067692307692305,1,1,1,,45.83148461538462,flu,flu_02
conformal,193,1,1.0,0.0,-12.967307692307694,-12.967307692307694,-12.967307692307694,-11.867307692307692,-11.867307692307692,-10.767307692307693,-10.759375000000002,-9.667307692307693,-8.567307692307693,-8.567307692307693,-7.467307692307693,-6.367307692307692,-5.053124999999999,-3.0673076923076925,-1.9673076923076924,-0.8673076923076922,3.5247596153846064,7.467307692307696,17.59471153846153,22.883173076923068,42.622355769230786,51.88112980769231,57.20609230769232,1,1,1,,47.089819937499996,flu,flu_02
empirical,193,2,0.0,0.0,-14.146153846153846,-14.146153846153846,-13.966153846153846,-12.946153846153846,-12.406153846153847,-11.746153846153845,-10.846153846153845,-10.546153846153846,-9.346153846153845,-9.346153846153845,-8.146153846153846,-6.9461538461538455,-5.746153846153846,-3.586153846153849,-2.2061538461538426,-0.9461538461538459,2.953846153846154,6.7338461538461605,17.71384615384615,23.893846153846155,38.77384615384611,51.493846153846135,60.07384615384614,1,1,1,,45.088892307692305,flu,flu_02
conformal,193,2,0.0,0.0,-14.146153846153846,-14.146153846153846,-14.146153846153846,-12.946153846153846,-12.946153846153846,-11.746153846153845,-11.737500000000002,-10.546153846153846,-9.346153846153845,-9.346153846153845,-8.146153846153846,-6.9461538461538455,-5.5124999999999975,-3.346153846153846,-2.146153846153846,-0.9461538461538459,3.8451923076922974,8.14615384615385,19.19423076923076,24.963461538461527,46.4971153846154,56.59759615384615,62.40664615384616,1,1,1,,46.46162174999999,flu,flu_02
empirical,193,4,0.0,0.0,-16.50384615384615,-16.50384615384615,-16.293846153846154,-15.103846153846153,-14.473846153846154,-13.703846153846152,-12.653846153846153,-12.303846153846154,-10.903846153846153,-10.903846153846153,-9.503846153846153,-8.103846153846153,-6.703846153846153,-4.183846153846157,-2.5738461538461497,-1.1038461538461535,3.4461538461538463,7.856153846153854,20.66615384615384,27.876153846153848,45.23615384615379,60.07615384615382,70.08615384615383,1,1,1,,52.60370769230769,flu,flu_02
conformal,193,4,0.0,0.0,-16.50384615384615,-16.50384615384615,-16.50384615384615,-15.103846153846153,-15.103846153846153,-13.703846153846152,-13.693750000000001,-12.303846153846154,-10.903846153846153,-10.903846153846153,-9.503846153846153,-8.103846153846153,-6.431249999999997,-3.9038461538461533,-2.5038461538461534,-1.1038461538461535,4.48605769230768,9.503846153846158,22.39326923076922,29.124038461538447,54.24663461538463,66.03052884615384,72.80775384615386,1,1,1,,54.205225375,flu,flu_02
