method,nominal,observed,n
empirical,0.01,0.0,399
empirical,0.025,0.0,399
empirical,0.05,0.0,399
empirical,0.1,0.0,399
empirical,0.15,0.0,399
empirical,0.2,0.0,399
empirical,0.25,0.0,399
empirical,0.3,0.07518796992481203,399
empirical,0.35,0.07518796992481203,399
empirical,0.4,0.13533834586466165,399
empirical,0.45,0.15538847117794485,399
empirical,0.5,0.2681704260651629,399
empirical,0.55,0.2706766917293233,399
empirical,0.6,0.2706766917293233,399
empirical,0.65,0.2832080200501253,399
empirical,0.7,0.38345864661654133,399
empirical,0.75,0.8170426065162907,399
empirical,0.8,0.9874686716791979,399
empirical,0.85,0.9974937343358395,399
empirical,0.9,1.0,399
empirical,0.95,1.0,399
empirical,0.975,1.0,399
empirical,0.99,1.0,399
conformal,0.01,0.0,399
conformal,0.025,0.0,399
conformal,0.05,0.0,399
conformal,0.1,0.0,399
conformal,0.15,0.0,399
conformal,0.2,0.0,399
conformal,0.25,0.0,399
conformal,0.3,0.07518796992481203,399
conformal,0.35,0.07518796992481203,399
conformal,0.4,0.12781954887218044,399
conformal,0.45,0.15538847117794485,399
conformal,0.5,0.2631578947368421,399
conformal,0.55,0.2706766917293233,399
conformal,0.6,0.2706766917293233,399
conformal,0.65,0.2857142857142857,399
conformal,0.7,0.44360902255639095,399
conformal,0.75,0.87468671679198,399
conformal,0.8,0.9924812030075187,399
conformal,0.85,0.9974937343358395,399
conformal,0.9,1.0,399
conformal,0.95,1.0,399
conformal,0.975,1.0,399
conformal,0.99,1.0,399
