edge_id,old_rfc,new_rfc,relation_type,total_citers,cites_old,cites_new,cites_both,takeover_ratio
0,360,407,obsoletes,32,2,31,1,0.968800
1,354,542,obsoletes,34,14,24,4,0.705900
2,724,733,obsoletes,37,2,37,2,1.000000
3,599,740,obsoletes,30,3,28,1,0.933300
4,542,765,obsoletes,46,24,25,3,0.543500
5,760,791,obsoletes,455,17,444,6,0.975800
6,777,792,obsoletes,174,2,173,1,0.994300
7,761,793,obsoletes,425,13,415,3,0.976500
8,788,821,obsoletes,171,16,167,12,0.976600
9,733,822,obsoletes,459,37,438,16,0.954200
10,764,854,obsoletes,103,18,93,8,0.902900
11,827,904,updates,64,31,41,8,0.640600
12,888,904,updates,58,25,41,8,0.706900
13,792,950,updates,185,173,28,16,0.151400
14,810,952,obsoletes,55,17,41,3,0.745500
15,812,954,obsoletes,45,19,27,1,0.600000
16,765,959,obsoletes,132,24,112,4,0.848500
17,983,1006,obsoletes,55,5,52,2,0.945500
18,973,1034,obsoletes,384,6,379,1,0.987000
19,882,1034,obsoletes,388,18,379,9,0.976800
20,883,1034,obsoletes,390,18,379,7,0.971800
21,973,1035,obsoletes,439,6,434,1,0.988600
22,882,1035,obsoletes,443,18,434,9,0.979700
23,883,1035,obsoletes,445,18,434,7,0.975300
24,850,1036,obsoletes,35,12,29,6,0.828600
25,948,1042,obsoletes,40,9,32,1,0.800000
26,1034,1101,updates,381,378,11,8,0.028900
27,1035,1101,updates,435,433,11,9,0.025300
28,988,1112,obsoletes,168,14,154,0,0.916700
29,1054,1112,obsoletes,156,2,154,0,0.987200
30,793,1122,updates,580,415,257,92,0.443100
31,822,1123,updates,566,437,200,71,0.353400
32,952,1123,updates,218,41,200,23,0.917400
33,822,1138,updates,437,437,4,4,0.009200
34,822,1148,updates,437,437,5,5,0.011400
35,1065,1155,obsoletes,206,21,199,14,0.966000
36,1066,1156,obsoletes,70,21,62,13,0.885700
37,1098,1157,obsoletes,246,11,242,7,0.983700
38,1034,1183,updates,381,378,13,10,0.034100
39,1035,1183,updates,437,433,13,9,0.029700
40,1063,1191,obsoletes,160,8,159,7,0.993800
41,742,1194,obsoletes,37,35,4,2,0.108100
42,742,1196,obsoletes,35,35,1,1,0.028600
43,1158,1213,obsoletes,199,15,195,11,0.979900
44,1131,1247,obsoletes,31,10,24,3,0.774200
45,1163,1267,obsoletes,32,13,30,11,0.937500
46,742,1288,obsoletes,44,35,10,1,0.227300
47,958,1305,obsoletes,98,13,86,1,0.877600
48,1059,1305,obsoletes,86,2,86,2,1.000000
49,1119,1305,obsoletes,92,13,86,7,0.934800
50,1072,1323,obsoletes,79,15,73,9,0.924100
51,1185,1323,obsoletes,75,6,73,4,0.973300
52,822,1327,updates,443,437,46,40,0.103800
53,987,1327,obsoletes,57,16,46,5,0.807000
54,1026,1327,obsoletes,50,6,46,2,0.920000
55,1138,1327,obsoletes,46,3,46,3,1.000000
56,1148,1327,obsoletes,47,4,46,3,0.978700
57,1172,1332,obsoletes,43,5,38,0,0.883700
58,1060,1340,obsoletes,71,21,51,1,0.718300
59,1034,1348,updates,380,378,5,3,0.013200
60,1035,1348,updates,435,433,5,3,0.011500
61,1247,1349,updates,43,23,23,3,0.534900
62,1195,1349,updates,119,97,23,1,0.193300
63,1123,1349,updates,219,199,23,3,0.105000
64,1122,1349,updates,268,256,23,11,0.085800
65,1060,1349,updates,43,20,23,0,0.534900
66,791,1349,updates,448,443,23,18,0.051300
67,783,1350,obsoletes,54,27,27,0,0.500000
68,877,1356,obsoletes,40,31,10,1,0.250000
69,1058,1388,updates,42,40,14,12,0.333300
70,951,1395,updates,45,45,1,1,0.022200
71,1113,1421,obsoletes,47,10,39,2,0.829800
72,1114,1422,obsoletes,38,8,31,1,0.815800
73,1115,1423,obsoletes,37,6,31,0,0.837800
74,1327,1495,updates,49,45,9,5,0.183700
75,951,1497,updates,44,44,8,8,0.181800
76,1338,1519,obsoletes,73,18,57,2,0.780800
77,1341,1521,obsoletes,103,32,76,5,0.737900
78,1342,1522,obsoletes,36,10,28,2,0.777800
79,951,1532,updates,45,44,3,2,0.066700
80,951,1542,updates,47,44,17,14,0.361700
81,1548,1570,updates,32,12,21,1,0.656200
82,1229,1573,obsoletes,58,21,46,9,0.793100
83,1247,1583,obsoletes,44,23,24,3,0.545500
84,1521,1590,updates,82,75,16,9,0.195100
85,1310,1602,obsoletes,42,17,28,3,0.666700
86,1548,1661,obsoletes,182,13,170,1,0.934100
87,1549,1662,obsoletes,39,4,35,0,0.897400
88,1340,1700,obsoletes,242,51,195,4,0.805800
89,1058,1723,updates,45,40,14,9,0.311100
