family,w_logistic,comparison,horizon,mae_ratio,mae_ci_lower,mae_ci_upper,wis_ratio,wis_ci_lower,wis_ci_upper
trend_logistic_mix,0.0,TFP/SimpleTheta,1,1.7765310973801116,1.7554384309288584,1.7997371076430806,1.484999448406563,1.4475885284757137,1.5201147881009038
trend_logistic_mix,0.0,TFP/SimpleTheta,4,5.455560838323144,5.326142825430108,5.59253929946054,4.4581890018077175,4.254306141829982,4.654286949850487
trend_logistic_mix,0.0,TFP/SimpleTheta,8,9.467890000721379,9.149519311781129,9.793339996264768,6.942341910407179,6.623289272720756,7.28836937694321
trend_logistic_mix,0.0,TFP/SimpleTheta,12,12.796541545981277,12.382556218933672,13.23442233123511,8.378357059672739,7.982726605282112,8.776013057270037
trend_logistic_mix,0.0,TFP/Naive,1,1.419535495777038,1.4070833292987166,1.4321658476839894,1.3106287785562014,1.2883784195411079,1.3307749711780958
trend_logistic_mix,0.0,TFP/Naive,4,4.308534895863388,4.204777009862946,4.413686352459937,4.052615154409968,3.888815707476936,4.211706690118833
trend_logistic_mix,0.0,TFP/Naive,8,7.2378907629706495,6.999669612807439,7.465878666647718,6.439534124221101,6.160171418138601,6.736634222250016
trend_logistic_mix,0.0,TFP/Naive,12,9.479272523470184,9.19038978827199,9.784770768227395,7.8719120179991755,7.5197742372584,8.228681007382209
seasonal_logistic_mix,0.0,TFP/SimpleTheta,1,1.489527388041132,1.4524542188207494,1.5267209929397645,1.0956379016539235,1.0906388273271983,1.1002086530146775
seasonal_logistic_mix,0.0,TFP/SimpleTheta,4,2.3850908418725947,2.2928644603581727,2.4860847387438527,1.3022524468687389,1.2897324100931875,1.314410064302408
seasonal_logistic_mix,0.0,TFP/SimpleTheta,8,2.3509030835268185,2.262244437006067,2.4434625936941403,1.1899516267456474,1.180335750787688,1.1993589659987622
seasonal_logistic_mix,0.0,TFP/SimpleTheta,12,1.5952544353098919,1.5656786612785827,1.6252981364524182,1.0564449760073202,1.0504767600885183,1.0634408413493355
seasonal_logistic_mix,0.0,TFP/Naive,1,0.7988014684877004,0.790028532541119,0.8077085652497592,0.923362057701482,0.9210976697898278,0.9258968527550028
seasonal_logistic_mix,0.0,TFP/Naive,4,0.5359837770038943,0.5300797437501179,0.5420818292766592,0.5952692293677769,0.5898203025098542,0.601108111819915
seasonal_logistic_mix,0.0,TFP/Naive,8,0.5476140353748024,0.5408994854346081,0.5556551567228202,0.6903008151505476,0.6846475203609309,0.6964582621829939
seasonal_logistic_mix,0.0,TFP/Naive,12,1.289230182991118,1.274412924563595,1.3043253296734032,1.0370513577769371,1.0333370405268358,1.041408910788328
trend_logistic_mix,0.1,TFP/SimpleTheta,1,1.7759059624691518,1.751359135859989,1.8009385039253325,1.4990394556127642,1.4620129327405291,1.5371443474198752
trend_logistic_mix,0.1,TFP/SimpleTheta,4,5.550724020535408,5.375965741569758,5.721982543337712,4.511829974078689,4.311164995820861,4.709346114543338
trend_logistic_mix,0.1,TFP/SimpleTheta,8,9.73514592955916,9.421136838306984,10.061527299897135,7.174131898682992,6.82571036825938,7.534370501954978
trend_logistic_mix,0.1,TFP/SimpleTheta,12,13.125981389587865,12.65588456861586,13.605028808844091,8.70480611494535,8.249292656935593,9.174713579273252
trend_logistic_mix,0.1,TFP/Naive,1,1.4196819601791615,1.4051474519426288,1.4346802980557456,1.3208941691546754,1.2988647455495874,1.3428499431075616
trend_logistic_mix,0.1,TFP/Naive,4,4.422250616666946,4.279057634600953,4.563207492175327,4.120022601119846,3.953005983826275,4.285321858024245
trend_logistic_mix,0.1,TFP/Naive,8,7.552809955288017,7.326819936643265,7.816887720663539,6.690656574540715,6.384727032056636,7.010664462146372
trend_logistic_mix,0.1,TFP/Naive,12,9.742442659021709,9.401279593775783,10.098563693111139,8.19065501582965,7.785331129357641,8.607458870237675
seasonal_logistic_mix,0.1,TFP/SimpleTheta,1,1.449248981587359,1.4144003022313232,1.4829348825539306,1.104308820561485,1.099118274622986,1.1093368365796568
seasonal_logistic_mix,0.1,TFP/SimpleTheta,4,2.340632590143885,2.252751710766675,2.428578323951424,1.3188281737767429,1.305853635644717,1.3328371277371254
seasonal_logistic_mix,0.1,TFP/SimpleTheta,8,2.3415927518502824,2.2606157031382503,2.4207533314077634,1.2008160552025382,1.1903290514880238,1.2109937537539026
seasonal_logistic_mix,0.1,TFP/SimpleTheta,12,1.5971771621898432,1.5666903610570457,1.6276564773903393,1.0619545517186915,1.0546066552204438,1.0703187525056197
seasonal_logistic_mix,0.1,TFP/Naive,1,0.8096739206412578,0.8006810559370697,0.8184316714896387,0.9231195617947843,0.9203700579344437,0.9256779998392078
seasonal_logistic_mix,0.1,TFP/Naive,4,0.5440332711098411,0.538294142349068,0.5501538329323913,0.5934251860060893,0.5879407509337157,0.5988969005680226
seasonal_logistic_mix,0.1,TFP/Naive,8,0.5536703889424547,0.5458307997877053,0.5617533627481605,0.6864648369151777,0.6803293050226149,0.6929988428607265
seasonal_logistic_mix,0.1,TFP/Naive,12,1.2990611140523722,1.28384198201296,1.3139168459731856,1.0410355153259012,1.0360964111391684,1.0465442979051727
trend_logistic_mix,0.25,TFP/SimpleTheta,1,1.7599499307167266,1.7321150690025915,1.7853758269354356,1.428446987202491,1.3926656941611246,1.466895357356011
trend_logistic_mix,0.25,TFP/SimpleTheta,4,5.416186725110645,5.284406836178742,5.5496502137753,4.245498492453131,4.036340743929091,4.453955709943957
trend_logistic_mix,0.25,TFP/SimpleTheta,8,9.451564292664512,9.123895054496739,9.803627278386571,6.72523294481263,6.3694815098202495,7.0861966873271705
trend_logistic_mix,0.25,TFP/SimpleTheta,12,12.51224006694965,12.008946983169352,12.98363688439107,8.198693934656255,7.797170145009382,8.630009538302767
trend_logistic_mix,0.25,TFP/Naive,1,1.4193271886176064,1.4042640069000678,1.4341462604456288,1.29362700823635,1.271954787893674,1.3160222559351344
trend_logistic_mix,0.25,TFP/Naive,4,4.432487079373627,4.334294683525595,4.541735827662173,3.961115052417936,3.7941857662113434,4.132534114582116
trend_logistic_mix,0.25,TFP/Naive,8,7.594621436634255,7.360438860400558,7.855424142473695,6.405598118844796,6.093930118761892,6.717451310300471
trend_logistic_mix,0.25,TFP/Naive,12,9.809390596893483,9.488666139556209,10.11516419060111,7.858778721221472,7.501767538107897,8.2405722751298
seasonal_logistic_mix,0.25,TFP/SimpleTheta,1,1.435046688977369,1.4062512602781116,1.4643008124001586,1.1080026644689784,1.1026451841625544,1.1134802994571367
seasonal_logistic_mix,0.25,TFP/SimpleTheta,4,2.2284148730442856,2.142552376963076,2.309041532529455,1.3016264152797854,1.2881120867471485,1.3152930447225497
